,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,ID
96,20.2682537538,7.75277726575,7.0735920398,7.47389542484,9.72398651252,16.6255164319,UP,UP,DOWN,DOWN,DOWN,DOWN,533056
97,172.367974589,165.064166667,131.885232733,119.419479638,196.488550388,174.353462709,UP,UP,UP,DOWN,DOWN,DOWN,532254
98,531.910418535,374.590405199,359.958716216,371.60224736,427.120224806,401.417222222,DOWN,UP,DOWN,UP,DOWN,UP,532638
99,829.821023916,772.981804281,775.891681682,574.162285068,957.033821705,1281.79810502,DOWN,UP,UP,UP,DOWN,UP,500002
100,472.26465,656.487561162,515.15246142,272.586500754,346.753612403,646.562975647,DOWN,UP,DOWN,UP,DOWN,DOWN,523642
101,2007.78754111,1458.11425841,1675.11045796,1920.0861463,2169.8496124,2313.5013242,UP,DOWN,DOWN,DOWN,DOWN,DOWN,532977
102,287.630022624,28.6027752294,24.2784869432,17.5474545455,20.6974034268,21.1404025765,UP,UP,UP,UP,DOWN,DOWN,500314
103,90.4008819133,63.6404204893,32.6693543544,21.5156259427,21.1741782946,11.5784946728,UP,UP,UP,UP,UP,UP,532670
104,450.033124066,348.357584098,309.155960961,407.162413273,378.282248062,363.458348554,DOWN,UP,DOWN,UP,UP,UP,532733
105,1394.47247384,1560.59694954,1684.87663664,2144.66658371,2806.8635969,3666.26831811,DOWN,UP,DOWN,DOWN,DOWN,DOWN,500124
106,400.981816143,227.300542813,204.229361862,143.135286576,185.233,161.529459665,DOWN,UP,DOWN,UP,DOWN,UP,500125
107,433.939185351,259.650382263,173.526493994,123.331998492,109.541186047,117.044155251,DOWN,UP,DOWN,UP,DOWN,DOWN,523574
108,909.581621824,1023.87029817,1000.92759427,1016.12929864,1175.97531008,1319.66685693,DOWN,DOWN,DOWN,UP,DOWN,DOWN,500251
109,315.930538117,227.766070336,147.791343844,137.751168929,262.106465116,532.182305936,DOWN,UP,DOWN,UP,DOWN,UP,500003
110,1051.29067265,213.461200306,255.312207207,225.273310709,297.829015504,455.880357686,DOWN,DOWN,DOWN,UP,DOWN,DOWN,500253
111,3007.17085949,4035.12324159,4549.1031006,5033.19217195,5346.36551163,6481.42961187,DOWN,DOWN,DOWN,DOWN,DOWN,UP,500790
112,924.926853513,1045.76139908,1306.03394144,1176.47222474,1367.3677907,1457.37487062,DOWN,DOWN,DOWN,UP,DOWN,UP,500410
113,1304.999858,441.978363914,545.636689189,766.071960784,1122.51279845,1816.68868341,UP,DOWN,DOWN,DOWN,DOWN,DOWN,500257
114,553.060067265,94.9489525994,126.779962462,145.022307692,154.211116279,140.146841705,UP,UP,DOWN,DOWN,DOWN,UP,500800
115,1308.3219133,1069.31068807,927.696088589,965.524675716,1131.491,1561.00926941,DOWN,UP,DOWN,UP,DOWN,UP,531344
116,139.673819133,101.90529734,157.827575075,125.788285024,145.40884127,144.318732719,UP,UP,DOWN,UP,DOWN,DOWN,508136
117,62.2892974589,29.8646445498,32.1512267343,28.4791613588,46.6154545455,83.6101766513,UP,UP,DOWN,UP,DOWN,DOWN,531719
118,429.350082212,422.427553517,495.665698198,111.510957768,178.867627907,483.275273973,DOWN,UP,UP,UP,DOWN,DOWN,501425
119,22.6570570571,28.8115402844,28.8414772727,14.5649772727,18.9145471698,44.400761035,DOWN,DOWN,UP,UP,DOWN,DOWN,532543
120,2197.88035874,2065.4416055,2641.7978003,2884.88665913,3203.9171938,3676.70259513,UP,UP,DOWN,DOWN,DOWN,DOWN,532466
121,731.177698057,848.423600917,718.461013514,539.209230769,805.538271318,1322.21065449,DOWN,UP,UP,UP,DOWN,DOWN,500550
122,23.8535426009,17.6655504587,15.0820825826,11.1775990338,16.4942015504,15.9931430746,UP,UP,UP,UP,DOWN,UP,530959
123,161.158430493,102.947981651,114.536861862,154.553748115,197.959651163,273.357062405,UP,DOWN,DOWN,DOWN,DOWN,DOWN,500096
124,538.508557549,648.547308869,985.760007508,1292.96011312,2174.33327132,4796.13838661,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,500034
125,55.5980941704,33.9034097859,22.0234834835,13.982907994,29.3108604651,20.3956544901,DOWN,UP,UP,UP,DOWN,DOWN,526235
126,275.885478326,109.732599388,112.649384384,132.196493213,215.148689922,277.559299848,UP,UP,DOWN,DOWN,DOWN,UP,523704
127,,,,,175.59683908,240.353424658,,,,,DOWN,DOWN,538685
128,175.918893871,147.166987768,125.213626126,141.787511312,286.858093023,478.040525114,DOWN,UP,UP,DOWN,DOWN,DOWN,512070
129,89.2953064275,60.7772247706,57.4121021021,44.500173454,61.4889457364,52.3263242009,UP,UP,DOWN,UP,DOWN,DOWN,500038
130,1282.56619581,887.423073394,858.127036199,868.370482234,2122.74527907,5717.13525114,UP,UP,DOWN,UP,DOWN,UP,533033
131,13.491103139,9.65078746177,5.89331381381,2.84793514329,2.04095193798,2.53934703196,DOWN,UP,UP,UP,UP,UP,531217
